광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
9 (인스타피드),25-34,unknown,2021-04-26,9 (전체),,2,2,,10,1,,,,,,,,,,,2021-04-26,2021-04-26
10번,25-34,unknown,2021-04-25,4월 캠페인,,3,3,,13,1,,,,,,,,,,,2021-04-25,2021-04-25
3번,25-34,female,2021-04-25,4월 캠페인,8,201,202,178.8330526,1430.664421,1.004975124,8,8,,,72,,72,,,,2021-04-25,2021-04-25
4번,18-24,female,2021-04-25,4월 캠페인,54,747,757,129.9074074,7015,1.013386881,52,54,,,454,,454,,1,,2021-04-25,2021-04-25
6번,Unknown,unknown,2021-04-25,4월 캠페인,,1,1,,4,1,,,,,,,,,,,2021-04-25,2021-04-25
6번,35-44,unknown,2021-04-25,4월 캠페인,1,2,2,15,15,1,1,1,,,2,,2,,,,2021-04-25,2021-04-25
6번,25-34,unknown,2021-04-25,4월 캠페인,,5,6,,43,1.2,,,,,2,,2,,,,2021-04-25,2021-04-25
3번,18-24,female,2021-04-25,4월 캠페인,43,1214,1235,167.03106,7182.335579,1.017298188,43,43,,,418,,418,1,,1,2021-04-25,2021-04-25
6번,45-54,male,2021-04-25,4월 캠페인,,16,16,,66,1,,,,,11,,11,,,,2021-04-25,2021-04-25
6번,45-54,female,2021-04-25,4월 캠페인,1,23,24,219,219,1.043478261,1,1,,,10,,10,,,,2021-04-25,2021-04-25
4번,25-34,female,2021-04-25,4월 캠페인,9,134,134,161.8888889,1457,1,9,9,,,95,,95,,,,2021-04-25,2021-04-25
8번,Unknown,unknown,2021-04-25,4월 캠페인,,2,2,,8.005671078,1,,,,,,,,,,,2021-04-25,2021-04-25
5번,25-34,female,2021-04-25,4월 캠페인,40,706,719,150.7,6028,1.018413598,38,40,,,293,,293,,3,,2021-04-25,2021-04-25
5번,18-24,female,2021-04-25,4월 캠페인,12,261,269,191.8333333,2302,1.030651341,12,12,,,91,,91,1,1,,2021-04-25,2021-04-25
5번,35-44,female,2021-04-25,4월 캠페인,,30,30,,185,1,,,,,15,,15,,,,2021-04-25,2021-04-25
5번,Unknown,unknown,2021-04-25,4월 캠페인,,1,1,,21,1,,,,,,,,,,,2021-04-25,2021-04-25
6번,35-44,male,2021-04-25,4월 캠페인,3,92,92,216.3333333,649,1,3,3,,,57,,57,,,,2021-04-25,2021-04-25
6번,35-44,female,2021-04-25,4월 캠페인,5,97,97,147.2,736,1,5,5,,,39,,39,,,,2021-04-25,2021-04-25
6번,25-34,female,2021-04-25,4월 캠페인,12,318,323,193.1666667,2318,1.01572327,12,12,,,109,,109,2,4,2,2021-04-25,2021-04-25
8번,25-34,female,2021-04-25,4월 캠페인,50,1063,1087,159.6130671,7980.653355,1.022577611,49,50,,,450,,450,,4,1,2021-04-25,2021-04-25
8번,35-44,female,2021-04-25,4월 캠페인,2,46,47,240.6704868,481.3409735,1.02173913,1,2,,,19,,19,,,,2021-04-25,2021-04-25
9번,18-24,female,2021-04-25,4월 캠페인,9,583,590,289.7777778,2608,1.012006861,9,9,,,102,1,102,,1,,2021-04-25,2021-04-25
10번,18-24,female,2021-04-25,4월 캠페인,20,831,849,200.9,4018,1.02166065,19,20,,,154,,154,1,,,2021-04-25,2021-04-25
10번,18-24,unknown,2021-04-25,4월 캠페인,,4,4,,22,1,,,,,1,,1,,,,2021-04-25,2021-04-25
10번,25-34,female,2021-04-25,4월 캠페인,4,148,149,224,896,1.006756757,4,4,,,31,,31,1,,,2021-04-25,2021-04-25
