,Season,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
209,summer,1900,Paris,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,Water Polo,Silver,Belgium
210,summer,1900,Paris,Aquatics,Water polo,"MICHANT, Albert",BEL,Men,Water Polo,Silver,Belgium
211,summer,1900,Paris,Aquatics,Water polo,"SONNEMANS, Victor",BEL,Men,Water Polo,Silver,Belgium
212,summer,1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"Au Chapelet, 33M",Bronze,France
213,summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Chapelet, 33M",Gold,Belgium
214,summer,1900,Paris,Archery,Archery,"THIBAUD, Victor",FRA,Men,"Au Chapelet, 33M",Silver,France
215,summer,1900,Paris,Archery,Archery,"MERCIER, Emile",FRA,Men,"Au Chapelet, 50M",Bronze,France
216,summer,1900,Paris,Archery,Archery,"MOUGIN, Eugène",FRA,Men,"Au Chapelet, 50M",Gold,France
217,summer,1900,Paris,Archery,Archery,"HELLE, Henri",FRA,Men,"Au Chapelet, 50M",Silver,France
218,summer,1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"Au Cordon Doré, 33M",Bronze,France
219,summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Cordon Doré, 33M",Gold,Belgium
220,summer,1900,Paris,Archery,Archery,"THIBAUD, Victor",FRA,Men,"Au Cordon Doré, 33M",Silver,France
221,summer,1900,Paris,Archery,Archery,"FISSEUX, Emile",FRA,Men,"Au Cordon Doré, 50M",Bronze,France
222,summer,1900,Paris,Archery,Archery,"HEROUIN, Henri",FRA,Men,"Au Cordon Doré, 50M",Gold,France
223,summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"Au Cordon Doré, 50M",Silver,Belgium
224,summer,1900,Paris,Archery,Archery,"FOULON, Emmanuel",BEL,Men,Sur La Perche À La Herse,Gold,Belgium
225,summer,1900,Paris,Archery,Archery,"DRUART, Jr.",BEL,Men,Sur La Perche À La Herse,Silver,Belgium
226,summer,1900,Paris,Archery,Archery,"SERRURIER, Auguste",FRA,Men,Sur La Perche À La Herse,Silver,France
227,summer,1900,Paris,Archery,Archery,"GLINEUX, Louis",BEL,Men,Sur La Perche À La Pyramide,Bronze,Belgium
228,summer,1900,Paris,Archery,Archery,"GRUMIAUX, Emile",FRA,Men,Sur La Perche À La Pyramide,Gold,France
